(3588,1)
(276,1)
(138,9)
(552,1)
(2070,1)
(553,1)
(277,3)
(139,6)
(13663,1)
(1,2608579)
(140,6)
(278,1)
(2,375530)
(141,10)
(3,71169)
(4,38484)
(694,1)
(280,1)
(142,4)
(2489,1)
(143,11)
(5,20846)
(420,2)
(6,13965)
(144,9)
(283,3)
(697,1)
(7,8938)
(145,4)
(698,2)
(146,6)
(284,3)
(8,6925)
(2217,1)
(699,1)
(561,1)
(9,5238)
(147,8)
(10,4396)
(148,8)
(1114,1)
(11,3590)
(149,8)
(287,2)
(150,10)
(702,1)
(288,2)
(12,3093)
(13,2677)
(151,6)
(289,2)
(703,2)
(1393,1)
(841,1)
(14,2275)
(152,7)
(290,1)
(15,1873)
(153,4)
(429,1)
(567,1)
(3052,1)
(16,1763)
(292,2)
(154,9)
(1121,1)
(17,1397)
(155,5)
(156,9)
(294,1)
(18,1249)
(432,1)
(19,1000)
(157,8)
(571,1)
(295,3)
(296,2)
(158,5)
(710,1)
(434,1)
(20,890)
(159,6)
(2229,1)
(21,763)
(297,3)
(160,3)
(298,1)
(22,653)
(436,1)
(2230,1)
(437,2)
(161,4)
(23,577)
(24,481)
(990,1)
(438,1)
(162,3)
(301,2)
(25,592)
(2233,1)
(163,7)
(1268,1)
(302,1)
(164,7)
(2096,1)
(26,391)
(2234,1)
(441,1)
(27,338)
(303,1)
(165,11)
(993,1)
(28,310)
(166,4)
(2236,1)
(304,2)
(29,294)
(443,2)
(167,3)
(30,277)
(306,1)
(168,4)
(169,3)
(307,1)
(31,242)
(1135,1)
(170,2)
(584,1)
(32,231)
(2516,1)
(722,1)
(171,4)
(33,190)
(1275,1)
(309,1)
(34,280)
(724,3)
(310,1)
(172,3)
(587,1)
(863,1)
(35,178)
(449,1)
(173,4)
(725,1)
(726,1)
(36,185)
(1554,1)
(174,3)
(450,1)
(451,1)
(175,7)
(37,176)
(38,173)
(176,6)
(39,134)
(177,6)
(454,1)
(1696,1)
(40,130)
(316,3)
(178,5)
(41,112)
(179,3)
(456,1)
(732,1)
(42,132)
(3216,1)
(318,2)
(319,3)
(181,5)
(871,1)
(733,1)
(43,116)
(182,3)
(44,118)
(734,1)
(459,1)
(1011,2)
(45,107)
(183,6)
(1149,1)
(184,7)
(2806,1)
(460,1)
(46,90)
(47,65)
(185,3)
(600,1)
(48,104)
(186,2)
(187,7)
(325,1)
(601,1)
(49,90)
(2258,1)
(50,105)
(188,5)
(189,6)
(465,1)
(2397,1)
(51,81)
(1017,1)
(879,1)
(52,76)
(742,1)
(190,5)
(604,1)
(328,2)
(53,69)
(191,7)
(192,1)
(1158,1)
(54,75)
(468,1)
(330,5)
(331,1)
(193,2)
(55,70)
(1849,1)
(56,61)
(332,1)
(884,1)
(194,7)
(747,1)
(333,1)
(471,1)
(57,57)
(195,2)
(19792,1)
(886,1)
(58,44)
(1438,1)
(334,1)
(196,3)
(59,56)
(473,1)
(749,1)
(197,7)
(612,1)
(60,56)
(198,2)
(61,56)
(337,2)
(199,3)
(338,1)
(200,3)
(62,51)
(753,2)
(201,8)
(63,70)
(339,1)
(1168,1)
(64,51)
(202,1)
(65,51)
(341,1)
(203,3)
(66,43)
(480,1)
(757,1)
(343,3)
(205,4)
(67,33)
(344,3)
(206,2)
(620,1)
(68,48)
(207,4)
(69,36)
(1035,1)
(2277,1)
(208,1)
(346,2)
(70,54)
(484,1)
(760,1)
(71,32)
(347,2)
(209,2)
(1727,1)
(486,1)
(4212,1)
(210,6)
(72,32)
(349,1)
(73,34)
(763,1)
(211,4)
(3110,1)
(350,2)
(212,1)
(74,43)
(903,1)
(213,4)
(75,36)
(76,34)
(904,1)
(3250,1)
(352,1)
(214,1)
(77,27)
(353,1)
(215,2)
(216,3)
(354,1)
(78,25)
(217,2)
(1321,1)
(79,24)
(80,34)
(2288,1)
(218,3)
(494,1)
(81,36)
(219,3)
(771,1)
(357,1)
(772,1)
(82,33)
(1048,1)
(220,1)
(1186,1)
(358,1)
(634,1)
(635,1)
(2153,1)
(83,32)
(221,5)
(84,35)
(222,6)
(360,2)
(223,1)
(85,22)
(224,3)
(362,2)
(86,20)
(776,1)
(500,1)
(1053,1)
(87,30)
(225,3)
(502,1)
(1606,1)
(88,38)
(778,1)
(503,2)
(227,1)
(89,28)
(365,2)
(90,20)
(228,3)
(367,1)
(229,1)
(643,1)
(91,26)
(230,2)
(92,32)
(645,1)
(369,1)
(507,1)
(93,22)
(232,1)
(370,1)
(646,1)
(508,1)
(94,39)
(95,32)
(647,3)
(233,3)
(96,20)
(648,1)
(510,1)
(372,2)
(234,1)
(97,25)
(235,1)
(650,1)
(374,1)
(98,33)
(926,1)
(236,2)
(1064,1)
(927,1)
(375,1)
(237,1)
(99,35)
(100,23)
(790,1)
(101,23)
(653,1)
(377,1)
(239,2)
(240,5)
(102,22)
(1620,2)
(379,1)
(241,2)
(103,23)
(104,24)
(380,2)
(794,1)
(242,2)
